EDAD,PERIODO,SUICIDIOS
De 85 a 89 años  ,2017,180
De 85 a 89 años  ,2016,143
De 85 a 89 años  ,2015,161
De 85 a 89 años  ,2014,189
De 85 a 89 años  ,2013,137
De 85 a 89 años  ,2012,138
De 85 a 89 años  ,2011,123
De 85 a 89 años  ,2010,136
De 85 a 89 años  ,2009,138
De 85 a 89 años  ,2008,120
De 85 a 89 años  ,2007,148
De 85 a 89 años  ,2006,113
De 85 a 89 años  ,2005,115
De 85 a 89 años  ,2004,128
De 85 a 89 años  ,2003,129
De 85 a 89 años  ,2002,130
De 85 a 89 años  ,2001,144
De 85 a 89 años  ,2000,135
De 90 a 94 años  ,2020,98
De 90 a 94 años  ,2019,81
De 90 a 94 años  ,2018,73
De 90 a 94 años  ,2017,64
De 90 a 94 años  ,2016,79
De 90 a 94 años  ,2015,64
De 90 a 94 años  ,2014,69
De 90 a 94 años  ,2013,45
De 90 a 94 años  ,2012,48
De 90 a 94 años  ,2011,40
De 90 a 94 años  ,2010,47
De 90 a 94 años  ,2009,40
De 90 a 94 años  ,2008,39
De 90 a 94 años  ,2007,37
De 90 a 94 años  ,2006,40
De 90 a 94 años  ,2005,57
De 90 a 94 años  ,2004,48
De 90 a 94 años  ,2003,39
De 90 a 94 años  ,2002,45
De 90 a 94 años  ,2001,36
De 90 a 94 años  ,2000,42
95 y más años,2020,25
95 y más años,2019,15
95 y más años,2018,11
95 y más años,2017,14
95 y más años,2016,16
95 y más años,2015,13
95 y más años,2014,8
95 y más años,2013,10
95 y más años,2012,12
95 y más años,2011,10
95 y más años,2010,9
95 y más años,2009,6
95 y más años,2008,9
95 y más años,2007,8
95 y más años,2006,10
95 y más años,2005,8
95 y más años,2004,11
95 y más años,2003,16
95 y más años,2002,10
95 y más años,2001,9
95 y más años,2000,6
