PERIODO,CCAA,DESEMPLEO,DESEMPLEO HOMBRES,DESEMPLEO MUJERES,SUICIDIOS,SUICIDIOS HOMBRES,SUICIDIOS MUJERES,PIB
2006, Cataluña,6.49,14.33,8.15,531.0,393.0,138.0,26403.0
2007, Cataluña,6.47,13.6,7.63,544.0,419.0,125.0,25795.0
2008, Cataluña,8.88,9.71,8.7,526.0,397.0,129.0,25806.0
2009, Cataluña,16.22,16.28,14.98,478.0,355.0,123.0,26507.0
2010, Cataluña,17.66,10.29,16.51,418.0,325.0,93.0,26976.0
2011, Cataluña,19.16,13.76,18.44,440.0,329.0,111.0,26874.0
2012, Cataluña,22.52,12.59,21.73,425.0,323.0,102.0,28157.0
2013, Cataluña,23.12,11.21,22.42,377.0,278.0,99.0,27983.0
2014, Cataluña,20.33,11.59,19.98,381.0,291.0,90.0,26708.0
2015, Cataluña,18.59,9.94,19.44,425.0,322.0,103.0,25116.0
2016, Cataluña,15.71,9.26,16.93,485.0,361.0,124.0,23938.0
2017, Cataluña,13.41,11.09,14.4,470.0,348.0,122.0,22818.0
2018, Cataluña,11.49,17.52,12.09,500.0,369.0,131.0,21877.0
2019, Cataluña,11.03,20.58,11.51,488.0,354.0,134.0,20953.0
2020, Cataluña,12.64,23.04,13.41,471.0,343.0,128.0,19442.0
2000, Comunitat Valenciana,54.63,30.86,17.38,440.0,317.0,123.0,20792.0
2001, Comunitat Valenciana,55.14,32.24,13.82,450.0,348.0,102.0,23083.0
2002, Comunitat Valenciana,10.82,27.2,14.74,396.0,293.0,103.0,22581.0
2003, Comunitat Valenciana,11.24,25.67,15.2,397.0,280.0,117.0,21864.0
2004, Comunitat Valenciana,10.46,23.73,13.64,336.0,255.0,81.0,20948.0
2005, Comunitat Valenciana,8.88,22.7,11.7,348.0,274.0,74.0,20301.0
2006, Comunitat Valenciana,8.34,19.38,11.03,380.0,278.0,102.0,19469.0
2007, Comunitat Valenciana,8.74,16.6,11.28,399.0,291.0,108.0,18987.0
2008, Comunitat Valenciana,11.98,18.04,13.4,406.0,308.0,98.0,19038.0
2009, Comunitat Valenciana,20.76,12.31,20.48,332.0,256.0,76.0,19933.0
2010, Comunitat Valenciana,22.86,9.66,22.76,400.0,300.0,100.0,20285.0
2011, Comunitat Valenciana,23.99,10.33,24.33,381.0,288.0,93.0,20352.0
2012, Comunitat Valenciana,27.19,7.78,26.99,371.0,278.0,93.0,21677.0
2013, Comunitat Valenciana,28.05,8.3,29.21,396.0,290.0,106.0,21462.0
2014, Comunitat Valenciana,25.81,8.48,26.78,363.0,260.0,103.0,20654.0
2015, Comunitat Valenciana,22.78,9.19,23.8,388.0,275.0,113.0,19490.0
2016, Comunitat Valenciana,20.62,7.18,22.58,358.0,264.0,94.0,18607.0
2017, Comunitat Valenciana,18.18,5.98,20.18,362.0,261.0,101.0,17832.0
2018, Comunitat Valenciana,15.59,5.73,17.46,300.0,227.0,73.0,17229.0
2019, Comunitat Valenciana,14.11,7.36,16.86,338.0,242.0,96.0,16504.0
2020, Comunitat Valenciana,16.19,11.66,18.37,355.0,262.0,93.0,15230.0
2000, Extremadura,51.16,14.59,35.86,92.0,79.0,13.0,18301.0
2001, Extremadura,46.43,16.56,22.48,79.0,68.0,11.0,19304.0
2002, Extremadura,19.04,20.8,28.07,70.0,58.0,12.0,18828.0
2003, Extremadura,17.29,22.32,24.96,77.0,61.0,16.0,18203.0
2004, Extremadura,17.25,21.62,27.08,82.0,66.0,16.0,17117.0
2005, Extremadura,15.74,18.65,22.21,58.0,48.0,10.0,16460.0
2006, Extremadura,13.31,16.54,18.57,63.0,51.0,12.0,15564.0
2007, Extremadura,12.97,15.0,18.48,74.0,60.0,14.0,15532.0
2008, Extremadura,15.35,12.39,21.68,76.0,66.0,10.0,15485.0
2009, Extremadura,20.63,10.75,25.02,70.0,59.0,11.0,16074.0
2010, Extremadura,22.97,10.89,26.3,81.0,73.0,8.0,16480.0
2011, Extremadura,25.08,12.25,27.87,73.0,56.0,17.0,16251.0
2012, Extremadura,33.08,9.99,36.02,78.0,68.0,10.0,16720.0
2013, Extremadura,33.87,7.88,35.9,74.0,63.0,11.0,16177.0
2014, Extremadura,29.79,5.46,33.15,70.0,58.0,12.0,15128.0
2015, Extremadura,29.1,5.01,33.53,89.0,74.0,15.0,14240.0
2016, Extremadura,27.52,5.42,32.39,93.0,73.0,20.0,13159.0
2017, Extremadura,26.22,5.54,30.7,69.0,48.0,21.0,12351.0
2018, Extremadura,23.64,6.2,29.06,90.0,72.0,18.0,11592.0
2019, Extremadura,21.54,4.65,27.68,67.0,55.0,12.0,10881.0
2020, Extremadura,21.8,4.92,26.28,80.0,67.0,13.0,10149.0
2000, Galicia,51.26,7.84,21.01,305.0,219.0,86.0,21903.0
2001, Galicia,49.69,13.92,15.46,292.0,220.0,72.0,23842.0
2002, Galicia,12.15,15.57,17.34,274.0,192.0,82.0,23130.0
2003, Galicia,12.67,16.4,18.18,323.0,242.0,81.0,22340.0
2004, Galicia,13.54,19.1,19.06,338.0,235.0,103.0,21482.0
2005, Galicia,9.89,19.22,13.36,318.0,229.0,89.0,20794.0
2006, Galicia,8.35,17.95,11.28,371.0,279.0,92.0,19782.0
2007, Galicia,7.58,16.81,9.9,333.0,245.0,88.0,19586.0
2008, Galicia,8.64,15.0,10.22,332.0,252.0,80.0,19514.0
2009, Galicia,12.44,12.79,13.36,306.0,240.0,66.0,20121.0
2010, Galicia,15.32,11.62,16.19,275.0,202.0,73.0,20481.0
2011, Galicia,17.26,9.81,18.06,340.0,252.0,88.0,20333.0
2012, Galicia,20.53,11.57,20.23,296.0,215.0,81.0,21145.0
2013, Galicia,22.04,12.77,21.73,304.0,216.0,88.0,20425.0
2014, Galicia,21.65,10.73,21.68,300.0,223.0,77.0,19049.0
2015, Galicia,19.31,8.52,20.04,329.0,239.0,90.0,17639.0
2016, Galicia,17.15,6.97,17.82,301.0,224.0,77.0,16327.0
2017, Galicia,15.67,8.26,16.38,337.0,246.0,91.0,15215.0
2018, Galicia,13.34,7.74,14.36,284.0,208.0,76.0,14256.0
2019, Galicia,11.76,7.5,12.84,266.0,193.0,73.0,13373.0
2020, Galicia,12.01,5.94,13.24,293.0,220.0,73.0,12399.0
2000," Madrid, Comunidad de",57.04,5.97,16.71,373.0,258.0,115.0,32048.0
2001," Madrid, Comunidad de",56.96,5.99,10.55,350.0,245.0,105.0,36049.0
2002," Madrid, Comunidad de",7.3,11.94,10.38,342.0,232.0,110.0,35042.0
2003," Madrid, Comunidad de",7.37,21.65,9.97,341.0,251.0,90.0,34133.0
2004," Madrid, Comunidad de",6.74,23.18,8.29,305.0,218.0,87.0,32840.0
2005," Madrid, Comunidad de",6.84,25.02,7.63,327.0,225.0,102.0,31907.0
2006," Madrid, Comunidad de",6.3,27.8,8.31,345.0,246.0,99.0,30574.0
2007," Madrid, Comunidad de",6.24,28.55,7.84,333.0,227.0,106.0,30131.0
2008," Madrid, Comunidad de",8.6,24.6,9.5,95.0,71.0,24.0,30349.0
2009," Madrid, Comunidad de",13.86,21.69,13.79,139.0,108.0,31.0,30966.0
2010," Madrid, Comunidad de",15.84,17.3,16.14,122.0,93.0,29.0,30879.0
2011," Madrid, Comunidad de",16.34,15.22,16.27,153.0,117.0,36.0,31220.0
