Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2018;11.538,47
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2017;11.238,95
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2016;11.050,21
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2015;10.730,68
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2014;10.469,4
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2013;10.778,06
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2012;11.087,96
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2011;11.417,65
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2010;11.419,1
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2009;11.653,38
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2008;12.170,26
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2007;11.729,19
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2006;11.131,12
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2020;75,69
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2019;73,97
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2018;73,47
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2017;71,99
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2016;72,48
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2015;71,43
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2014;70,31
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2013;72,59
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2012;73,34
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2011;75,28
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2010;75,58
Total Nacional;Hasta 999 euros;Índice sobre la media del gmp;2009;76,9
