Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
08 Castilla - La Mancha;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2011;92,19
08 Castilla - La Mancha;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2010;85,33
08 Castilla - La Mancha;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2009;90,2
08 Castilla - La Mancha;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2008;91,25
08 Castilla - La Mancha;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2007;90,77
08 Castilla - La Mancha;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2006;90,66
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2020;4.641.947,59
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2019;6.434.101,39
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2018;5.914.001,98
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2017;5.122.144,47
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2016;5.168.992,56
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2015;4.898.560,57
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2014;4.721.586,62
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2013;4.324.382,2
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2012;4.576.274,02
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2011;5.257.908,46
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2010;5.603.846,1
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2009;5.367.853,66
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2008;6.300.890,39
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2007;6.497.410,02
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto total;2006;5.104.587,27
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2020;26,92
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2019;31,64
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2018;30,55
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2017;26,8
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2016;26,59
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2015;25,38
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2014;24,78
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2013;22,66
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2012;24,13
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2011;26,17
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2010;27,59
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2009;27,09
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2008;31,28
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2007;32,78
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Distribución porcentual;2006;28,8
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2020;26.406,87
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2019;32.413,7
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2018;33.291,43
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2017;33.952,29
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2016;33.811,28
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2015;32.877,64
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2014;34.092,5
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2013;33.059,64
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2012;33.292,11
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2011;33.133,4
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2010;35.626,95
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2009;33.245,01
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2008;35.322,44
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2007;37.264,84
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por hogar;2006;38.145,8
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2020;9.009,02
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2019;10.664,65
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2018;11.096,92
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2017;11.110,25
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2016;11.574,18
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2015;11.543,43
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2014;11.202,08
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2013;10.695,7
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2012;10.503,32
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2011;11.093,47
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2010;11.537,37
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2009;10.184,41
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2008;10.881,05
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2007;11.268,1
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por persona;2006;11.081,07
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2020;13.995,93
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2019;16.687,15
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2018;17.406,19
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2017;17.554,33
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2016;18.009,53
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2015;17.770,73
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2014;17.562,29
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2013;16.900,4
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2012;16.837,25
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2011;17.381,3
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2010;18.215,49
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2009;16.370,81
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2008;17.370,37
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2007;18.025,5
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Gasto medio por unidad de consumo;2006;17.992,09
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2020;99,75
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2019;101,68
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2018;110,02
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2017;113,61
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2016;117,87
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2015;118,16
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2014;118,85
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2013;113,61
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2012;113,81
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2011;114,03
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2010;116,89
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2009;104,8
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2008;108,44
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2007;111,76
08 Castilla - La Mancha;De 2.000 a 2.999 euros;Índice sobre la media del gmp;2006;118,48
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2020;4.691.842,61
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2019;4.718.049,55
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2018;3.959.437,48
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2017;3.326.234,42
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2016;3.624.393,86
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2015;3.516.796,72
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2014;2.935.728,48
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2013;4.099.878,58
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2012;2.801.746,05
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2011;3.303.684,75
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2010;4.192.944,55
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2009;4.288.369,5
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2008;4.344.216,22
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2007;3.739.866,67
08 Castilla - La Mancha;3.000 euros o más;Gasto total;2006;3.129.743,96
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2020;27,21
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2019;23,2
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2018;20,45
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2017;17,4
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2016;18,64
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2015;18,22
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2014;15,41
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2013;21,49
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2012;14,77
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2011;16,44
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2010;20,65
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2009;21,64
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2008;21,57
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2007;18,87
08 Castilla - La Mancha;3.000 euros o más;Distribución porcentual;2006;17,66
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2020;33.388,91
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2019;47.757,01
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2018;46.565,81
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2017;45.754,23
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2016;45.410,06
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2015;44.061,58
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2014;44.653,68
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2013;44.952,41
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2012;42.512,83
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2011;44.932,24
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2010;49.688,77
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2009;49.704,55
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2008;47.865,45
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2007;48.202,68
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por hogar;2006;45.616,68
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2020;10.544,69
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2019;14.619,4
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2018;14.111,62
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2017;13.489,77
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2016;13.173,2
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2015;13.685,54
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2014;13.367,28
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2013;13.966,23
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2012;12.430,31
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2011;12.687,16
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2010;14.029,76
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2009;13.095,21
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2008;12.042,86
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2007;12.678,94
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por persona;2006;11.495,41
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2020;16.755,31
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2019;23.310,01
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2018;22.656,18
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2017;21.759,6
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2016;21.670,45
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2015;21.902,38
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2014;21.656,85
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2013;22.429,49
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2012;20.126,04
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2011;20.903,76
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2010;22.743,69
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2009;21.613,42
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2008;19.981,09
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2007;20.814,86
08 Castilla - La Mancha;3.000 euros o más;Gasto medio por unidad de consumo;2006;19.039,19
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2020;116,75
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2019;139,38
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2018;139,91
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2017;137,95
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2016;134,15
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2015;140,08
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2014;141,82
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2013;148,35
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2012;134,69
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2011;130,42
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2010;142,15
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2009;134,76
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2008;120,02
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2007;125,75
08 Castilla - La Mancha;3.000 euros o más;Índice sobre la media del gmp;2006;122,91
09 Cataluña;Total;Gasto total;2020;89.533.343,01
09 Cataluña;Total;Gasto total;2019;100.708.891,57
09 Cataluña;Total;Gasto total;2018;98.577.977,14
09 Cataluña;Total;Gasto total;2017;94.204.226,04
09 Cataluña;Total;Gasto total;2016;90.020.163,78
09 Cataluña;Total;Gasto total;2015;88.841.900,22
09 Cataluña;Total;Gasto total;2014;87.422.643,78
09 Cataluña;Total;Gasto total;2013;86.060.896,72
09 Cataluña;Total;Gasto total;2012;88.161.359,49
09 Cataluña;Total;Gasto total;2011;91.457.490,51
09 Cataluña;Total;Gasto total;2010;91.060.112,42
09 Cataluña;Total;Gasto total;2009;94.849.549,5
09 Cataluña;Total;Gasto total;2008;96.876.272,19
09 Cataluña;Total;Gasto total;2007;92.534.560,45
09 Cataluña;Total;Gasto total;2006;88.367.447,29
09 Cataluña;Total;Distribución porcentual;2020;100
09 Cataluña;Total;Distribución porcentual;2019;100
09 Cataluña;Total;Distribución porcentual;2018;100
09 Cataluña;Total;Distribución porcentual;2017;100
09 Cataluña;Total;Distribución porcentual;2016;100
09 Cataluña;Total;Distribución porcentual;2015;100
09 Cataluña;Total;Distribución porcentual;2014;100
09 Cataluña;Total;Distribución porcentual;2013;100
09 Cataluña;Total;Distribución porcentual;2012;100
09 Cataluña;Total;Distribución porcentual;2011;100
09 Cataluña;Total;Distribución porcentual;2010;100
09 Cataluña;Total;Distribución porcentual;2009;100
09 Cataluña;Total;Distribución porcentual;2008;100
09 Cataluña;Total;Distribución porcentual;2007;100
09 Cataluña;Total;Distribución porcentual;2006;100
09 Cataluña;Total;Gasto medio por hogar;2020;29.348,52
09 Cataluña;Total;Gasto medio por hogar;2019;32.973,26
09 Cataluña;Total;Gasto medio por hogar;2018;32.631,29
09 Cataluña;Total;Gasto medio por hogar;2017;31.741,16
09 Cataluña;Total;Gasto medio por hogar;2016;30.519,93
09 Cataluña;Total;Gasto medio por hogar;2015;30.404,44
09 Cataluña;Total;Gasto medio por hogar;2014;29.910,2
09 Cataluña;Total;Gasto medio por hogar;2013;29.490,9
09 Cataluña;Total;Gasto medio por hogar;2012;30.052,03
09 Cataluña;Total;Gasto medio por hogar;2011;31.609,9
09 Cataluña;Total;Gasto medio por hogar;2010;31.714,1
09 Cataluña;Total;Gasto medio por hogar;2009;33.517,85
09 Cataluña;Total;Gasto medio por hogar;2008;34.734,71
09 Cataluña;Total;Gasto medio por hogar;2007;34.102,97
09 Cataluña;Total;Gasto medio por hogar;2006;33.289,22
09 Cataluña;Total;Gasto medio por persona;2020;11.904,31
09 Cataluña;Total;Gasto medio por persona;2019;13.411,71
09 Cataluña;Total;Gasto medio por persona;2018;13.278,99
09 Cataluña;Total;Gasto medio por persona;2017;12.863,36
09 Cataluña;Total;Gasto medio por persona;2016;12.318,9
09 Cataluña;Total;Gasto medio por persona;2015;12.202,9
09 Cataluña;Total;Gasto medio por persona;2014;11.982,09
09 Cataluña;Total;Gasto medio por persona;2013;11.806,46
09 Cataluña;Total;Gasto medio por persona;2012;11.890,52
09 Cataluña;Total;Gasto medio por persona;2011;12.357,29
09 Cataluña;Total;Gasto medio por persona;2010;12.311,24
09 Cataluña;Total;Gasto medio por persona;2009;12.897,94
09 Cataluña;Total;Gasto medio por persona;2008;13.283,08
09 Cataluña;Total;Gasto medio por persona;2007;12.941,23
09 Cataluña;Total;Gasto medio por persona;2006;12.592,25
09 Cataluña;Total;Gasto medio por unidad de consumo;2020;17.604,4
09 Cataluña;Total;Gasto medio por unidad de consumo;2019;19.842,27
09 Cataluña;Total;Gasto medio por unidad de consumo;2018;19.642,58
09 Cataluña;Total;Gasto medio por unidad de consumo;2017;19.079,92
09 Cataluña;Total;Gasto medio por unidad de consumo;2016;18.319,05
09 Cataluña;Total;Gasto medio por unidad de consumo;2015;18.165,48
09 Cataluña;Total;Gasto medio por unidad de consumo;2014;17.846,76
09 Cataluña;Total;Gasto medio por unidad de consumo;2013;17.576,12
09 Cataluña;Total;Gasto medio por unidad de consumo;2012;17.778,91
09 Cataluña;Total;Gasto medio por unidad de consumo;2011;18.538,31
09 Cataluña;Total;Gasto medio por unidad de consumo;2010;18.480,62
09 Cataluña;Total;Gasto medio por unidad de consumo;2009;19.395,06
09 Cataluña;Total;Gasto medio por unidad de consumo;2008;20.007,3
09 Cataluña;Total;Gasto medio por unidad de consumo;2007;19.518,47
09 Cataluña;Total;Gasto medio por unidad de consumo;2006;18.992,85
09 Cataluña;Total;Índice sobre la media del gmp;2020;100
09 Cataluña;Total;Índice sobre la media del gmp;2019;100
09 Cataluña;Total;Índice sobre la media del gmp;2018;100
09 Cataluña;Total;Índice sobre la media del gmp;2017;100
09 Cataluña;Total;Índice sobre la media del gmp;2016;100
09 Cataluña;Total;Índice sobre la media del gmp;2015;100
09 Cataluña;Total;Índice sobre la media del gmp;2014;100
09 Cataluña;Total;Índice sobre la media del gmp;2013;100
09 Cataluña;Total;Índice sobre la media del gmp;2012;100
09 Cataluña;Total;Índice sobre la media del gmp;2011;100
09 Cataluña;Total;Índice sobre la media del gmp;2010;100
09 Cataluña;Total;Índice sobre la media del gmp;2009;100
09 Cataluña;Total;Índice sobre la media del gmp;2008;100
09 Cataluña;Total;Índice sobre la media del gmp;2007;100
09 Cataluña;Total;Índice sobre la media del gmp;2006;100
09 Cataluña;Hasta 999 euros;Gasto total;2020;5.537.663,34
09 Cataluña;Hasta 999 euros;Gasto total;2019;6.337.057,2
09 Cataluña;Hasta 999 euros;Gasto total;2018;7.254.954,74
09 Cataluña;Hasta 999 euros;Gasto total;2017;7.831.463,74
09 Cataluña;Hasta 999 euros;Gasto total;2016;9.092.929,41
09 Cataluña;Hasta 999 euros;Gasto total;2015;8.563.031,33
09 Cataluña;Hasta 999 euros;Gasto total;2014;9.835.778,61
09 Cataluña;Hasta 999 euros;Gasto total;2013;10.784.743
09 Cataluña;Hasta 999 euros;Gasto total;2012;10.298.233,36
09 Cataluña;Hasta 999 euros;Gasto total;2011;8.632.294,93
09 Cataluña;Hasta 999 euros;Gasto total;2010;9.402.858,09
09 Cataluña;Hasta 999 euros;Gasto total;2009;8.239.202,39
09 Cataluña;Hasta 999 euros;Gasto total;2008;8.264.221,73
09 Cataluña;Hasta 999 euros;Gasto total;2007;8.725.018,05
09 Cataluña;Hasta 999 euros;Gasto total;2006;9.702.114,52
09 Cataluña;Hasta 999 euros;Distribución porcentual;2020;6,19
09 Cataluña;Hasta 999 euros;Distribución porcentual;2019;6,29
09 Cataluña;Hasta 999 euros;Distribución porcentual;2018;7,36
09 Cataluña;Hasta 999 euros;Distribución porcentual;2017;8,31
09 Cataluña;Hasta 999 euros;Distribución porcentual;2016;10,1
09 Cataluña;Hasta 999 euros;Distribución porcentual;2015;9,64
09 Cataluña;Hasta 999 euros;Distribución porcentual;2014;11,25
09 Cataluña;Hasta 999 euros;Distribución porcentual;2013;12,53
09 Cataluña;Hasta 999 euros;Distribución porcentual;2012;11,68
09 Cataluña;Hasta 999 euros;Distribución porcentual;2011;9,44
09 Cataluña;Hasta 999 euros;Distribución porcentual;2010;10,33
09 Cataluña;Hasta 999 euros;Distribución porcentual;2009;8,69
09 Cataluña;Hasta 999 euros;Distribución porcentual;2008;8,53
09 Cataluña;Hasta 999 euros;Distribución porcentual;2007;9,43
09 Cataluña;Hasta 999 euros;Distribución porcentual;2006;10,98
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2020;15.761,64
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2019;16.361,21
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2018;16.297,94
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2017;15.883,31
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2016;16.617,48
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2015;16.265,76
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2014;16.072,66
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2013;16.938,86
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2012;17.234,7
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2011;16.682,52
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2010;17.556,92
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2009;16.905,7
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2008;16.282,56
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2007;15.899,31
09 Cataluña;Hasta 999 euros;Gasto medio por hogar;2006;16.413,77
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2020;10.103,12
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2019;10.546,77
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2018;10.406,65
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2017;9.535,12
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2016;9.162,12
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2015;8.379,75
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2014;8.448,18
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2013;9.132,3
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2012;8.835,13
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2011;9.723,42
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2010;10.326,65
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2009;10.244,27
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2008;10.684,7
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2007;9.884,81
09 Cataluña;Hasta 999 euros;Gasto medio por persona;2006;9.990,69
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2020;12.668,11
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2019;13.106,48
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2018;12.969,23
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2017;12.266,37
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2016;12.216,32
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2015;11.472,83
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2014;11.550,4
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2013;12.301,25
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2012;12.168,41
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2011;12.648,73
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2010;13.372,15
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2009;13.134,01
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2008;13.221,18
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2007;12.524,31
09 Cataluña;Hasta 999 euros;Gasto medio por unidad de consumo;2006;12.629,78
09 Cataluña;Hasta 999 euros;Índice sobre la media del gmp;2020;84,87
09 Cataluña;Hasta 999 euros;Índice sobre la media del gmp;2019;78,64
09 Cataluña;Hasta 999 euros;Índice sobre la media del gmp;2018;78,37
09 Cataluña;Hasta 999 euros;Índice sobre la media del gmp;2017;74,13
09 Cataluña;Hasta 999 euros;Índice sobre la media del gmp;2016;74,37
