Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2008	183
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2007	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2006	170
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2005	158
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2004	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2003	129
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2002	130
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2001	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2000	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2020	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2019	36
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2018	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2017	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2016	41
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2015	38
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2014	38
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2013	32
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2012	36
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2011	37
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2010	20
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2009	33
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2008	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2007	16
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2006	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2005	31
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2004	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2003	34
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2002	29
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2001	25
